"pixel_x","pixel_y","cell_ID"
5793.8,-3167.6,"21x7"
5796.4,-3574.2,"21x9"
5796.9,-3974.8,"21x11"
5791.3,-4376.3,"21x13"
5788.7,-4770.8,"21x15"
5792.4,-5172.3,"21x17"
5794.6,-5570,"21x19"
5786.5,-5973.3,"21x21"
5791.2,-6375.5,"21x23"
5799.8,-6767.3,"21x25"
5801.5,-7175.7,"21x27"
5789.5,-7577.8,"21x29"
5789,-7975.1,"21x31"
5791.4,-8372.6,"21x33"
5794.3,-8780.6,"21x35"
5969.9,-2162.3,"22x2"
5974.4,-2575.7,"22x4"
5978,-2975.3,"22x6"
5979,-3377.1,"22x8"
5980.4,-3778.3,"22x10"
5981.5,-4177.7,"22x12"
5977.8,-4577.2,"22x14"
5976.7,-4978.2,"22x16"
5976.9,-5379.9,"22x18"
5983.8,-5781.4,"22x20"
5971.7,-6176.3,"22x22"
5974.2,-6578,"22x24"
5975.9,-6975.9,"22x26"
5985.5,-7378.3,"22x28"
5969.6,-7775.6,"22x30"
5975.5,-8175.5,"22x32"
5977.9,-8582.8,"22x34"
5972.7,-9776,"22x40"
6157.4,-2364.6,"23x3"
6145.7,-2771.1,"23x5"
6158.6,-3174.9,"23x7"
6159.5,-3577.2,"23x9"
6163.6,-3977.8,"23x11"
6154.6,-4378,"23x13"
6158,-4774.9,"23x15"
6148,-5176.6,"23x17"
6160.6,-5578.3,"23x19"
6152.8,-5976.4,"23x21"
6158,-6376.5,"23x23"
6155.2,-6771.8,"23x25"
6155.5,-7189.4,"23x27"
6156.6,-7580.2,"23x29"
6159.3,-7972.2,"23x31"
6153.2,-8379.9,"23x33"
6153.3,-8788.4,"23x35"
6148.9,-9179.9,"23x37"
6148.7,-9579.8,"23x39"
6148.8,-9985.5,"23x41"
6337.4,-2159.8,"24x2"
6332.6,-2574.5,"24x4"
6339.2,-2973.1,"24x6"
6339.1,-3370.5,"24x8"
6341.5,-3776.9,"24x10"
6345,-4188.5,"24x12"
6333.3,-4567.9,"24x14"
6336.5,-4972.5,"24x16"
6338.4,-5374.3,"24x18"
6340.9,-5776,"24x20"
