cell_1 cell_2 cell_3 cell_4 cell_5 cell_6 cell_7 cell_8 cell_9 cell_10 cell_11 cell_12 cell_13 cell_14 cell_15 cell_16 cell_17 cell_18 cell_19 cell_20 cell_21 cell_22 cell_23 cell_24 cell_25 cell_26 cell_27 cell_28 cell_29 cell_30 cell_31 cell_32 cell_33 cell_34 cell_35 cell_36 cell_37 cell_38 cell_39 cell_40 cell_41 cell_42 cell_43 cell_44 cell_45 cell_46 cell_47 cell_48 cell_49 cell_50 cell_51 cell_52 cell_53 cell_54 cell_55 cell_56 cell_57 cell_58 cell_59 cell_60 cell_61 cell_62 cell_63 cell_64 cell_65 cell_66 cell_67 cell_68 cell_69 cell_70 cell_71 cell_72 cell_73 cell_74 cell_75 cell_76 cell_77 cell_78 cell_79 cell_80 cell_81 cell_82 cell_83 cell_84 cell_85 cell_86 cell_87 cell_88 cell_89 cell_90 cell_91 cell_92 cell_93 cell_94 cell_95 cell_96 cell_97 cell_98 cell_99 cell_100 cell_101 cell_102 cell_103 cell_104 cell_105 cell_106 cell_107 cell_108 cell_109 cell_110 cell_111 cell_112 cell_113 cell_114 cell_115 cell_116 cell_117 cell_118
Greb1l 0 2 2 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
Grem1 2 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 1 1 0 1 0 2 0 0 0 0 0 1 0 0 2 0 0
Grem2 2 0 0 0 0 0 0 0 0 2 2 0 1 0 2 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 2 0 0 0 1 0 0 2 2 0 0 0 2 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
Grik3 0 1 0 0 0 2 2 2 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0
Grin2d 2 1 0 1 0 1 0 2 0 0 0 0 0 2 0 2 0 2 0 0 0 2 0 4 0 0 0 0 0 0 2 0 2 0 0 2 0 0 0 0 2 1 0 0 1 0 3 0 2 0 0 2 0 0 1 0 0 0 0 1 2 1 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 2 0 0 2 0 0 0 2
Gtf2h3 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gtf3c3 0 0 0 0 0 2 0 0 0 0 3 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 2 0 0 1 0 1 0 0 0 0 0 3 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 2 0 0 0 1 0 0 0 2 0 1 0 2 0 0
Gusb 0 0 0 0 0 0 0 1 2 0 0 0 1 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0 0 2 0 0 0 0 0 2 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0
Hadh 0 0 0 0 0 2 0 2 0 0 0 0 2 1 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 2 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1
Hadha 4 0 0 0 0 2 3 0 0 0 2 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 1 0 0 1 0 0 0 0 0
Has2 2 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
Hcrtr1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0
Heg1 0 2 0 0 1 0 0 2 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 3 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 2 0 0 0 0 0 0 2 2 0 0 2
Helz 0 0 2 0 1 0 2 2 0 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 2 0 1 0 0 0 0 0 2 0 0 2 0 0 0 1 0 0 2 0 2 0 0 2 0 2 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
Hfe2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Hgs 2 0 2 0 0 2 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 2 2 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 2 1 0 2 2 0 0 0 0 0 0 0 2 0 0 0 2 0 0 2 1 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 2 0 3 0 2 0 2 2 0 0 0 2 2 0 0 2 0 0 0 0 0 1 0 0 1 2 0 0 0
Hhipl1 0 0 0 0 0 0 1 2 0 0 1 0 0 0 2 0 0 0 0 0 0 2 0 2 0 2 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 2 2 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 2 0 1 2 0 1 1 0 0 0 0 0 1 0 0 2 2 2 1 0 1 0 0 0 2 0 0 0 2 0 0 0 0 0
Hhipl2 1 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 1 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 2 1 0 1 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0 2 1 1 1 0 0
Hivep1 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 2 0 2 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 2 0 0 1 2 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 2 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0
Hmgxb3 3 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 2 2 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 2 0 0 0 0 0 1 0 0 2 0 2 0 0 0 3 0 0 2 0 0 2 0 2 0 1 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 2 0 0 0 0 2 0 0
Hn1l 1 0 0 0 0 0 1 2 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 2 0 0 0 1 0 1 2 0 0 0 2 0 2 1 2 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0
Homer3 0 0 0 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 2 2 0 2 0
Hoxb1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0
Hp1bp3 3 2 0 0 2 1 2 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 1 2 2 0 0 1 0 0 0 0 0 2 2 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
Hr 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 0 0 0 0 0 0 2 0 2 0 0 0 2 0 2 0 1 0 0 0 2 3 1 2 0 2 0 0 0 3 1 0 0 2 2 0 0 0 0 0 0 0 0 3 0 1 1 0 2 0 0 0 0 0 0 2 0 0 1 0 1 0 1 2 2 1 4 0 0 0 2 0 2 0 1 0 0 0 1 1 0 0
Hs6st2 1 0 0 0 0 0 0 0 2 2 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 2 0 1 0 2 0 0 0 0
Hspa12b 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 2 0 0
Htr3a 0 1 0 0 0 1 2 9 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 6 0 0 0 2
Ibtk 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 2 0 0 0 0
Icosl 2 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0
Ids 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 1 1 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 2 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 1 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 2 0 2 1 0 0 2 0 0 0 0 0 0 0
Ifit1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 2 2 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 0 2 0 0 0 0 0 2 0 0 1 0 0 0 0 0
Ifngr1 1 0 1 0 0 2 0 0 0 0 0 0 2 0 2 0 0 2 2 0 0 0 0 0 1 0 0 0 2 0 2 0 2 0 0 2 2 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 2 0 0 1 0 1 2 0 2 1 0 0 0 0 0 0 2 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ifnlr1 0 0 0 0 0 2 1 0 0 2 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 2 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 1 1 0 0 0 0 2 2 1 0 2 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1
Ift80 2 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 2 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 2 1 0 1 0 2 0 0 0 0 0 0 1 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0
Igf2 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 1 0 0 2 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 2 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0
Igsf11 1 0 0 0 0 0 3 0 2 2 1 0 0 0 3 0 0 0 0 0 0 0 0 2 0 0 3 0 5 2 2 3 0 2 0 2 2 0 0 0 2 0 2 0 2 0 0 0 1 0 0 0 0 2 2 1 0 2 0 2 0 0 1 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 2 2 0 0 0 0 0 0 0 0 1 1 0 0 1 0 2 0 0 1 2 1 0 0 3 0 0 0 2 2 0 1 0 2 2
Igsf9 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 2 0 2 0 0 0 0 2 2 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 2 0 1 0 0 2 0 0 0 0 0 0 2 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0
Ikbke 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
Ikzf3 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
Il17rc 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 1 1 2 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 1 1 0 0 0 2 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 2 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 2 0 0 0
Il1rn 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2
Impa1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0
Inf2 2 0 0 0 0 1 2 3 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 2 0 0 2 0 1 1 3 1 0 0 1 2 0 2 0 1 0 0 0 0 0 0 0 0 2 1 0 2 2 0 0 1 0 0 2 2 2 1 2 0 2 1 1 0 1 0 0 1 0 0 1 0 2 0 0 0 0 0 0 2 0 0 2 3 0 1 2 2 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 2 0 2 2
Inppl1 0 2 1 0 0 0 0 0 1 0 1 1 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 2 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 3 0 1 0 0 1 2 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 2 0 1 0 1 1 2 2 0 2 0 2 0 0 0 0 0 0 0 2 2 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0
Ints2 0 0 0 2 0 0 0 2 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 3 0 0 0 0 2 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0
Iqcd 1 0 1 0 0 2 1 0 0 0 0 0 0 2 1 0 0 1 2 0 0 0 0 0 0 1 0 2 0 0 0 1 1 2 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 2 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 2 1 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
Itga2 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 3 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 1 1 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 2 0 1 0 3 0 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 0 1 2 0 2 1 0 1 0 0 2
Itga3 0 0 0 2 0 0 1 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 2 0 0 0 0 0 2 0 2 0 1 0 0 0 0 0 0 0 1 0 2 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 2 0 2 0 0 0 2 1 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0
Itgam 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 2 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 3 1 0 0 2 0 0 3 0 1 0 2 2 0 0 1 0 0 0 1 1 0 2 1 3 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
Itgb2 1 0 0 2 0 0 1 0 0 0 1 0 2 0 3 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 2 0 0 2 0 0 2 0 0 2 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 1 0 1 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
Itpripl1 1 0 1 2 0 2 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 2 2 2 0 1 0 3 2 0 0 0 0 0 0 0 4 2 1 2 0 0 0 1 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
Josd1 3 0 0 0 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 2 0 2 2 2 0 0 2 0 2 0 2 1 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 1 1 2 0 1 0 0 0 2 0 2 0 0 0 0 2 0 0 1
Jup 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0
Kcna6 0 0 1 1 2 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 2 0 1 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 1 0 0
