index	louvain	Cai_mapping	cell_types	field
451	14	15	Neuroblast3	1
452	6	7	Interneuron3	1
453	24	25	Oligodendrocyte	1
454	3	4	Interneuron2	1
455	13	14	Interneuron5	1
456	5	6	Neuroblast1	1
457	12	13	Interneuron4	1
458	1	2	Interneuron1	1
459	24	25	Oligodendrocyte	1
460	6	7	Interneuron3	1
461	6	7	Interneuron3	1
462	6	7	Interneuron3	1
463	5	6	Neuroblast1	1
464	5	6	Neuroblast1	1
465	3	4	Interneuron2	1
466	6	7	Interneuron3	1
467	5	6	Neuroblast1	1
468	5	6	Neuroblast1	1
469	5	6	Neuroblast1	1
470	10	11	Neuroblast2	1
471	11	12	Endothelial	1
472	17	18	Neuroblast4	1
473	7	8	Astrocytes1	1
474	5	6	Neuroblast1	1
475	10	11	Neuroblast2	1
476	0	1	Th+ Interneuron1	1
