index	louvain	Cai_mapping	cell_types	field
1846	0	1	Th+ Interneuron1	5
1847	24	25	Oligodendrocyte	5
1848	0	1	Th+ Interneuron1	5
1849	0	1	Th+ Interneuron1	5
1850	16	17	Mitral/Tufted	5
1851	11	12	Endothelial	5
1852	16	17	Mitral/Tufted	5
1853	17	18	Neuroblast4	5
1854	10	11	Neuroblast2	5
1855	0	1	Th+ Interneuron1	5
1856	4	5	Th+ Interneuron3	5
1857	16	17	Mitral/Tufted	5
1858	21	22	Th+ Interneuron4	5
1859	2	3	Th+ Interneuron2	6
1860	2	3	Th+ Interneuron2	6
1861	7	8	Astrocytes1	6
1862	22	23	Neuroblast6	6
1863	13	14	Interneuron5	6
1864	22	23	Neuroblast6	6
1865	13	14	Interneuron5	6
1866	2	3	Th+ Interneuron2	6
1867	14	15	Neuroblast3	6
1868	11	12	Endothelial	6
1869	2	3	Th+ Interneuron2	6
1870	2	3	Th+ Interneuron2	6
1871	2	3	Th+ Interneuron2	6
1872	2	3	Th+ Interneuron2	6
1873	2	3	Th+ Interneuron2	6
1874	2	3	Th+ Interneuron2	6
1875	2	3	Th+ Interneuron2	6
1876	2	3	Th+ Interneuron2	6
1877	2	3	Th+ Interneuron2	6
1878	2	3	Th+ Interneuron2	6
1879	2	3	Th+ Interneuron2	6
1880	2	3	Th+ Interneuron2	6
1881	2	3	Th+ Interneuron2	6
1882	11	12	Endothelial	6
1883	9	10	Astrocytes2	6
1884	8	9	Olfactory	6
1885	8	9	Olfactory	6
1886	8	9	Olfactory	6
1887	8	9	Olfactory	6
1888	8	9	Olfactory	6
1889	8	9	Olfactory	6
1890	8	9	Olfactory	6
1891	8	9	Olfactory	6
1892	8	9	Olfactory	6
1893	8	9	Olfactory	6
1894	16	17	Mitral/Tufted	6
1895	16	17	Mitral/Tufted	6
1896	9	10	Astrocytes2	6
1897	19	20	Microglia	6
1898	2	3	Th+ Interneuron2	6
1899	2	3	Th+ Interneuron2	6
1900	9	10	Astrocytes2	6
1901	11	12	Endothelial	6
1902	11	12	Endothelial	6
1903	11	12	Endothelial	6
1904	10	11	Neuroblast2	6
1905	22	23	Neuroblast6	6
1906	16	17	Mitral/Tufted	6
1907	9	10	Astrocytes2	6
1908	2	3	Th+ Interneuron2	6
1909	16	17	Mitral/Tufted	6
1910	0	1	Th+ Interneuron1	6
1911	9	10	Astrocytes2	6
1912	2	3	Th+ Interneuron2	6
1913	16	17	Mitral/Tufted	6
1914	16	17	Mitral/Tufted	6
1915	2	3	Th+ Interneuron2	6
1916	2	3	Th+ Interneuron2	6
1917	2	3	Th+ Interneuron2	6
1918	2	3	Th+ Interneuron2	6
1919	16	17	Mitral/Tufted	6
1920	9	10	Astrocytes2	6
1921	10	11	Neuroblast2	6
1922	9	10	Astrocytes2	6
1923	7	8	Astrocytes1	6
1924	22	23	Neuroblast6	6
1925	22	23	Neuroblast6	6
1926	2	3	Th+ Interneuron2	6
1927	2	3	Th+ Interneuron2	6
1928	2	3	Th+ Interneuron2	6
1929	2	3	Th+ Interneuron2	6
1930	11	12	Endothelial	6
1931	2	3	Th+ Interneuron2	6
1932	2	3	Th+ Interneuron2	6
1933	2	3	Th+ Interneuron2	6
1934	9	10	Astrocytes2	6
1935	2	3	Th+ Interneuron2	6
1936	9	10	Astrocytes2	6
1937	2	3	Th+ Interneuron2	6
1938	2	3	Th+ Interneuron2	6
1939	2	3	Th+ Interneuron2	6
1940	2	3	Th+ Interneuron2	6
1941	11	12	Endothelial	6
1942	2	3	Th+ Interneuron2	6
1943	2	3	Th+ Interneuron2	6
1944	2	3	Th+ Interneuron2	6
1945	2	3	Th+ Interneuron2	6
1946	22	23	Neuroblast6	6
1947	2	3	Th+ Interneuron2	6
1948	11	12	Endothelial	6
1949	2	3	Th+ Interneuron2	6
1950	2	3	Th+ Interneuron2	6
1951	2	3	Th+ Interneuron2	6
1952	2	3	Th+ Interneuron2	6
1953	8	9	Olfactory	6
1954	9	10	Astrocytes2	6
1955	11	12	Endothelial	6
1956	8	9	Olfactory	6
1957	2	3	Th+ Interneuron2	6
1958	8	9	Olfactory	6
1959	8	9	Olfactory	6
1960	8	9	Olfactory	6
1961	8	9	Olfactory	6
1962	2	3	Th+ Interneuron2	6
1963	11	12	Endothelial	6
1964	8	9	Olfactory	6
1965	8	9	Olfactory	6
1966	8	9	Olfactory	6
1967	8	9	Olfactory	6
1968	8	9	Olfactory	6
1969	8	9	Olfactory	6
1970	8	9	Olfactory	6
1971	8	9	Olfactory	6
1972	9	10	Astrocytes2	6
1973	9	10	Astrocytes2	6
1974	11	12	Endothelial	6
1975	16	17	Mitral/Tufted	6
1976	16	17	Mitral/Tufted	6
1977	2	3	Th+ Interneuron2	6
1978	16	17	Mitral/Tufted	6
1979	11	12	Endothelial	6
1980	0	1	Th+ Interneuron1	6
1981	22	23	Neuroblast6	6
1982	11	12	Endothelial	6
1983	7	8	Astrocytes1	6
1984	2	3	Th+ Interneuron2	6
1985	2	3	Th+ Interneuron2	6
1986	2	3	Th+ Interneuron2	6
1987	2	3	Th+ Interneuron2	6
1988	2	3	Th+ Interneuron2	6
1989	2	3	Th+ Interneuron2	6
1990	2	3	Th+ Interneuron2	6
1991	2	3	Th+ Interneuron2	6
1992	2	3	Th+ Interneuron2	6
1993	4	5	Th+ Interneuron3	6
1994	2	3	Th+ Interneuron2	6
1995	11	12	Endothelial	6
1996	9	10	Astrocytes2	6
1997	19	20	Microglia	6
1998	9	10	Astrocytes2	6
1999	4	5	Th+ Interneuron3	6
2000	2	3	Th+ Interneuron2	6
2001	9	10	Astrocytes2	6
2002	2	3	Th+ Interneuron2	6
2003	8	9	Olfactory	6
2004	2	3	Th+ Interneuron2	6
2005	8	9	Olfactory	6
2006	8	9	Olfactory	6
2007	8	9	Olfactory	6
2008	8	9	Olfactory	6
2009	8	9	Olfactory	6
2010	8	9	Olfactory	6
2011	8	9	Olfactory	6
2012	8	9	Olfactory	6
2013	8	9	Olfactory	6
2014	8	9	Olfactory	6
2015	8	9	Olfactory	6
2016	7	8	Astrocytes1	6
2017	8	9	Olfactory	6
2018	2	3	Th+ Interneuron2	6
2019	16	17	Mitral/Tufted	6
2020	9	10	Astrocytes2	6
2021	16	17	Mitral/Tufted	6
2022	16	17	Mitral/Tufted	6
2023	16	17	Mitral/Tufted	6
2024	16	17	Mitral/Tufted	6
2025	11	12	Endothelial	6
2026	22	23	Neuroblast6	6
2027	2	3	Th+ Interneuron2	6
2028	2	3	Th+ Interneuron2	6
2029	4	5	Th+ Interneuron3	6
2030	2	3	Th+ Interneuron2	6
2031	11	12	Endothelial	6
2032	11	12	Endothelial	6
2033	4	5	Th+ Interneuron3	6
2034	22	23	Neuroblast6	6
2035	2	3	Th+ Interneuron2	6
2036	2	3	Th+ Interneuron2	6
2037	11	12	Endothelial	6
2038	2	3	Th+ Interneuron2	6
2039	2	3	Th+ Interneuron2	6
2040	8	9	Olfactory	6
2041	8	9	Olfactory	6
2042	8	9	Olfactory	6
2043	11	12	Endothelial	6
2044	8	9	Olfactory	6
2045	8	9	Olfactory	6
2046	8	9	Olfactory	6
2047	8	9	Olfactory	6
2048	8	9	Olfactory	6
2049	8	9	Olfactory	6
