uniq_ID	Field_of_View	cell_types
cell_211	1	Excitatory neuron
cell_212	1	Astrocyte
cell_213	1	Endothelial
cell_214	1	Excitatory neuron
cell_215	1	Microglia
cell_216	1	Excitatory neuron
cell_217	1	Excitatory neuron
cell_218	1	Excitatory neuron
cell_219	1	Excitatory neuron
cell_220	1	Interneuron
cell_221	1	Endothelial
cell_222	1	Excitatory neuron
cell_223	1	Excitatory neuron
cell_224	1	Excitatory neuron
cell_225	1	Excitatory neuron
cell_226	1	Excitatory neuron
cell_227	2	Endothelial
cell_228	2	Excitatory neuron
cell_229	2	Excitatory neuron
cell_230	2	Excitatory neuron
cell_231	2	Excitatory neuron
cell_232	2	Neuroblast
cell_233	2	Excitatory neuron
cell_234	2	Excitatory neuron
cell_235	2	Excitatory neuron
cell_236	2	Excitatory neuron
cell_237	2	Excitatory neuron
cell_238	2	Excitatory neuron
cell_239	2	Astrocyte
cell_240	2	Endothelial
cell_241	2	Astrocyte
cell_242	2	Excitatory neuron
cell_243	2	Excitatory neuron
cell_244	2	Neural Stem
cell_245	2	Astrocyte
cell_246	2	Interneuron
cell_247	2	Astrocyte
cell_248	2	Excitatory neuron
cell_249	2	Excitatory neuron
cell_250	2	Excitatory neuron
cell_251	2	Excitatory neuron
cell_252	2	Excitatory neuron
cell_253	2	Endothelial
cell_254	2	Astrocyte
cell_255	2	Excitatory neuron
cell_256	2	Astrocyte
cell_257	2	Astrocyte
cell_258	2	Excitatory neuron
cell_259	2	Excitatory neuron
cell_260	2	Excitatory neuron
cell_261	2	Interneuron
cell_262	2	Neuroblast
cell_263	2	Excitatory neuron
cell_264	2	Endothelial
cell_265	2	Interneuron
cell_266	2	Endothelial
cell_267	2	Interneuron
cell_268	2	Interneuron
cell_269	2	Excitatory neuron
cell_270	2	Excitatory neuron
cell_271	2	Oligodendrocyte
cell_272	2	Excitatory neuron
cell_273	2	Excitatory neuron
cell_274	2	Excitatory neuron
cell_275	2	Interneuron
cell_276	2	Astrocyte
cell_277	2	Excitatory neuron
cell_278	2	Excitatory neuron
cell_279	2	Interneuron
cell_280	2	Excitatory neuron
cell_281	2	Excitatory neuron
cell_282	2	Endothelial
cell_283	2	Astrocyte
cell_284	2	Excitatory neuron
cell_285	2	Neural Stem
cell_286	2	Excitatory neuron
cell_287	2	Excitatory neuron
cell_288	2	Astrocyte
cell_289	2	Excitatory neuron
cell_290	2	Microglia
cell_291	2	Astrocyte
cell_292	2	Excitatory neuron
cell_293	2	Excitatory neuron
cell_294	2	Interneuron
cell_295	2	Excitatory neuron
cell_296	2	Neural Stem
cell_297	2	Endothelial
cell_298	2	Astrocyte
cell_299	2	Excitatory neuron
cell_300	2	Neuroblast
cell_301	2	Excitatory neuron
cell_302	2	Oligodendrocyte
cell_303	2	Interneuron
cell_304	2	Excitatory neuron
cell_305	2	Excitatory neuron
cell_306	2	Oligodendrocyte
cell_307	2	Excitatory neuron
cell_308	2	Neuroblast
cell_309	2	Neural Stem
cell_310	2	Interneuron
cell_311	2	Neural Stem
cell_312	2	Excitatory neuron
cell_313	2	Excitatory neuron
cell_314	2	Interneuron
cell_315	2	Endothelial
cell_316	2	Oligodendrocyte
cell_317	3	Excitatory neuron
cell_318	3	Excitatory neuron
cell_319	3	Endothelial
cell_320	3	Excitatory neuron
cell_321	3	Excitatory neuron
cell_322	3	Excitatory neuron
cell_323	3	Excitatory neuron
cell_324	3	Excitatory neuron
cell_325	3	Excitatory neuron
cell_326	3	Astrocyte
cell_327	3	Excitatory neuron
cell_328	3	Endothelial
cell_329	3	Excitatory neuron
cell_330	3	Interneuron
cell_331	3	Microglia
cell_332	3	Oligodendrocyte
cell_333	3	Excitatory neuron
cell_334	3	Microglia
cell_335	3	Excitatory neuron
cell_336	3	Astrocyte
cell_337	3	Excitatory neuron
cell_338	3	Excitatory neuron
cell_339	3	Excitatory neuron
cell_340	3	Astrocyte
cell_341	3	Oligodendrocyte
cell_342	3	Excitatory neuron
cell_343	3	Microglia
cell_344	3	Excitatory neuron
cell_345	3	Microglia
cell_346	3	Excitatory neuron
cell_347	3	Astrocyte
cell_348	3	Excitatory neuron
cell_349	3	Excitatory neuron
cell_350	3	Endothelial
cell_351	3	Excitatory neuron
cell_352	3	Excitatory neuron
cell_353	3	Excitatory neuron
cell_354	3	Endothelial
cell_355	3	Excitatory neuron
cell_356	3	Excitatory neuron
cell_357	3	Excitatory neuron
cell_358	3	Astrocyte
cell_359	3	Interneuron
cell_360	3	Excitatory neuron
cell_361	3	Endothelial
cell_362	3	Endothelial
cell_363	3	Excitatory neuron
cell_364	3	Excitatory neuron
cell_365	3	Astrocyte
cell_366	3	Excitatory neuron
cell_367	3	Oligodendrocyte
cell_368	3	Excitatory neuron
cell_369	3	Excitatory neuron
cell_370	3	Excitatory neuron
cell_371	3	Excitatory neuron
cell_372	3	Excitatory neuron
cell_373	3	Interneuron
cell_374	3	Excitatory neuron
cell_375	3	Excitatory neuron
cell_376	3	Excitatory neuron
cell_377	3	Excitatory neuron
cell_378	3	Excitatory neuron
cell_379	3	Excitatory neuron
cell_380	3	Endothelial
cell_381	3	Excitatory neuron
cell_382	3	Interneuron
cell_383	3	Excitatory neuron
cell_384	3	Excitatory neuron
cell_385	3	Endothelial
cell_386	3	Excitatory neuron
cell_387	3	Excitatory neuron
cell_388	3	Excitatory neuron
cell_389	3	Neural Stem
cell_390	3	Excitatory neuron
cell_391	3	Excitatory neuron
cell_392	3	Excitatory neuron
cell_393	3	Excitatory neuron
cell_394	3	Interneuron
cell_395	3	Excitatory neuron
cell_396	3	Excitatory neuron
cell_397	3	Excitatory neuron
cell_398	3	Astrocyte
cell_399	3	Endothelial
cell_400	3	Excitatory neuron
cell_401	3	Excitatory neuron
cell_402	3	Excitatory neuron
cell_403	3	Excitatory neuron
cell_404	3	Endothelial
cell_405	3	Excitatory neuron
cell_406	3	Excitatory neuron
cell_407	3	Excitatory neuron
cell_408	3	Endothelial
cell_409	3	Excitatory neuron
cell_410	3	Oligodendrocyte
cell_411	3	Excitatory neuron
cell_412	3	Interneuron
cell_413	3	Excitatory neuron
cell_414	3	Excitatory neuron
cell_415	3	Excitatory neuron
cell_416	3	Excitatory neuron
cell_417	3	Excitatory neuron
cell_418	3	Excitatory neuron
cell_419	3	Excitatory neuron
cell_420	3	Excitatory neuron
cell_421	3	Excitatory neuron
cell_422	3	Excitatory neuron
cell_423	4	Oligodendrocyte
cell_424	4	Astrocyte
cell_425	4	Oligodendrocyte
cell_426	4	Oligodendrocyte
cell_427	4	Astrocyte
