Field of View,Cell ID,X,Y
2,244,1104.43,1145.70
2,245,1077.58,1047.90
2,246,1036.50,493.04
2,247,1031.20,999.30
2,248,1012.40,1623.10
2,249,1000.70,1437.80
2,250,986.70,752.18
2,251,911.30,490.18
2,252,834.80,1073.60
2,253,838.10,1585.50
2,254,816.60,761.15
2,255,766.40,529.72
2,256,786.60,872.18
2,257,753.20,800.37
2,258,689.20,1122.90
2,259,676.30,1281.70
2,260,627.20,1487.70
2,261,587.60,1168.70
2,262,562.30,1620.90
2,263,540.50,998.12
2,264,472.00,906.57
2,265,423.30,1769.80
2,266,404.80,974.49
2,267,407.00,1879.20
2,268,334.90,1473.70
2,269,255.30,873.90
2,270,267.30,1327.80
2,271,1804.80,1507.30
2,272,1668.44,1522.70
2,273,1643.45,1655.50
2,274,1618.41,1415.40
2,275,1547.07,1309.20
2,276,1523.67,1484.80
2,277,1482.82,1668.20
2,278,1354.05,1474.10
2,279,611.20,876.46
2,280,556.30,1734.50
2,281,422.40,1652.80
2,282,417.90,1371.30
2,283,1892.05,707.72
2,284,1882.78,520.95
2,285,1860.66,623.17
2,286,1743.96,1818.80
2,287,1728.56,551.91
2,288,1695.98,633.05
2,289,1614.20,1820.30
2,290,1611.25,703.15
2,291,1598.26,573.52
2,292,1467.02,539.39
2,293,1397.10,420.87
2,294,1395.05,325.13
2,295,1279.93,1042.10
2,296,1247.97,300.32
2,297,1224.64,713.42
2,298,1164.31,756.36
2,299,1148.63,414.39
2,300,1105.06,257.98
2,301,872.30,1904.60
2,302,814.20,1273.90
2,303,812.60,1803.10
2,304,807.00,174.80
2,305,726.00,1936.00
2,306,561.40,695.89
2,307,544.60,602.98
2,308,551.40,212.18
2,309,537.40,355.41
2,310,465.40,496.92
2,311,368.60,644.44
2,312,328.30,374.85
2,313,226.70,546.78
2,314,217.70,411.24
2,315,847.50,1202.50
2,316,764.70,1411.10
3,317,1873.80,734.12
3,318,1859.24,1601.50
3,319,1841.17,1495.30
3,320,1760.65,1033.30
3,321,1751.33,723.27
3,322,1755.18,863.07
3,323,1720.31,1135.90
3,324,1694.06,1297.70
3,325,1644.04,701.05
3,326,1629.20,854.93
3,327,1635.94,352.20
3,328,1607.28,995.24
3,329,1595.49,1091.30
3,330,1587.94,1468.10
3,331,1520.62,1285.50
3,332,1508.89,1700.80
3,333,1481.06,653.28
3,334,1441.38,726.66
3,335,1454.30,1234.00
3,336,1445.87,877.47
3,337,1399.29,432.99
3,338,1406.53,1599.60
3,339,1389.91,1184.00
3,340,1394.29,1715.20
