x	y	z
-759.9371315	-71.3417959999997	260
-740.3547385	81.3844210000002	260
-721.9364705	42.6914020000004	260
-711.1688765	76.2571840000001	260
-713.3254755	44.551645	260
-855.2715025	50.589864	260
-841.7061285	-35.5977319999997	260
-840.3310385	87.5086920000003	260
-835.6685245	-92.2907679999998	260
-824.5347965	17.6873310000001	260
-768.7650395	-91.4583669999997	260
-763.4218735	59.0368990000002	260
-758.0058605	8.31184800000028	260
-857.8420385	17.5125600000001	260
-828.8400295	96.2290970000004	260
-828.1615055	-65.7248959999997	260
-828.1283355	-20.6818279999998	260
-821.4971895	-62.8770099999997	260
-812.6171515	-11.8236139999999	260
-782.9711735	6.85621200000014	260
-736.6826185	-69.0090139999998	260
-720.5824295	-48.2487959999999	260
-714.1459745	-46.5857619999997	260
-896.2569795	242.2969	260
-890.0426385	262.805119	260
-888.9193005	214.842656	260
-885.9120125	223.291453	260
-883.3687885	194.909145	260
-881.1848755	135.865091	260
-878.8363905	114.442561	260
-875.9198485	256.692211	260
-873.4712115	195.864427	260
-866.3389095	286.243202	260
-864.1373265	156.269248	260
-862.7215075	275.74178	260
-862.1820335	248.259277	260
-863.0196485	205.263536	260
-854.8604175	149.938422	260
-852.1040245	260.069033	260
-850.5889035	179.183305	260
-845.0612415	156.195082	260
-845.1694815	271.34728	260
-843.2307235	232.497403	260
-842.7737335	169.691222	260
-837.9397895	185.100087	260
-835.1772815	135.292099	260
-829.3901155	256.270234	260
-826.7524835	211.430701	260
-819.5268815	274.212656	260
-823.6923965	152.934759	260
-822.9874335	198.669696	260
-819.1503765	108.857541	260
-820.7094895	289.536041	260
-813.9483195	178.198723	260
-804.1587575	257.969224	260
-802.7829435	233.498032	260
-799.1095955	148.708398	260
-796.6277445	257.585572	260
-795.9226735	237.013694	260
-794.8867825	268.678489	260
-793.5215845	227.258395	260
-788.2603125	274.939042	260
-789.1582295	215.64138	260
-786.4939955	192.350323	260
-788.1554405	208.182951	260
-786.4804445	293.095394	260
-781.2075225	261.189962	260
-782.3947885	154.700755	260
-779.2340935	146.481584	260
-776.7920495	117.753812	260
-767.7585865	184.61548	260
-764.1500535	170.757228	260
-762.7673265	289.488332	260
-760.2022385	129.428643	260
-758.8232015	110.57875	260
-759.6435985	149.314059	260
-754.1589015	137.24146	260
-745.1118425	122.883176	260
-740.0608415	136.187865	260
-737.8202235	241.5181	260
-734.8364445	253.178791	260
-734.8719415	289.443202	260
-733.2043545	184.783102	260
-732.7825185	155.188067	260
-719.6868505	250.766075	260
-718.4583605	204.853838	260
-716.3773535	115.317913	260
-715.1088995	195.829683	260
-890.7948445	256.423784	260
-869.2028825	146.070264	260
-866.0887985	137.535103	260
-860.8822655	127.650182	260
-825.9242995	158.787914	260
-823.9402365	266.050069	260
-815.3959645	232.986201	260
-810.3580275	213.402469	260
-779.6971985	209.070907	260
-765.4047125	233.472593	260
-747.4905345	232.2922	260
-739.9797875	260.268765	260
-889.3572405	129.503505	260
-887.3884915	165.551169	260
-881.5874145	270.653434	260
-864.5975895	294.010653	260
-864.9008135	277.556529	260
-860.2106895	261.608947	260
-857.1667795	230.021902	260
-839.1947725	265.811288	260
-824.2876775	120.973494	260
-824.1321565	139.399379	260
-795.9247405	137.355988	260
-790.4314265	172.466398	260
-782.0262275	108.911896	260
-714.8828315	241.467407	260
-708.9788165	255.840107	260
-887.0999355	289.973376	260
-757.3105385	162.055925	260
-750.6296755	165.789578	260
-719.8943205	162.292738	260
-889.4836545	446.175084	260
-884.7907095	407.520023	260
-868.5031485	363.227173	260
-861.2278935	493.893518	260
-860.1014015	422.486445	260
-859.8838155	330.264014	260
-858.5291585	370.636635	260
-858.2206645	451.27809	260
-845.6232565	358.554399	260
-843.7500465	381.820156	260
-845.1730635	365.083219	260
-841.0249565	330.007246	260
-837.6701595	343.199013	260
-830.7257905	330.101529	260
-829.9811515	412.859387	260
-828.7169565	485.121708	260
-822.6209465	389.032466	260
-818.4176525	330.872657	260
-815.4107455	413.739895	260
-790.9721785	314.552294	260
-788.7509535	378.810622	260
-782.7949225	468.06464	260
-781.9519535	421.859294	260
-779.8671055	412.40665	260
-768.9820705	483.156576	260
-756.4631275	375.120368	260
-753.7912725	345.273935	260
-746.6188455	374.366916	260
-752.7814425	451.688679	260
-742.5528515	451.114463	260
-741.5775135	348.152678	260
-732.5927325	350.851512	260
-727.2918525	368.767682	260
-709.2675095	425.232721	260
-709.3318705	468.334371	260
-703.4341805	462.833147	260
-887.7698645	470.656625	260
-882.8733965	377.362386	260
-878.7382625	449.196002	260
-833.4211265	368.241493	260
-814.0190175	460.333802	260
-809.4122325	373.77037	260
-808.0236045	432.500539	260
-797.3274265	461.399147	260
-793.2964085	398.491814	260
-731.7729285	318.828139	260
-815.8411585	469.681619	260
-811.8684965	390.186443	260
-801.0270155	336.503938	260
-799.2892605	383.249287	260
-795.0296305	337.824645	260
-770.9436725	377.24089	260
-750.3862265	324.874767	260
-716.8306815	372.143344	260
-711.3244505	369.690432	260
-854.5295405	308.970121	260
-830.2898925	453.525973	260
-739.1149455	380.202402	260
-720.0571815	332.784057	260
-715.4289105	410.915365	260
-894.6827205	679.592083	260
-889.2167775	645.074594	260
-891.0350615	553.452929	260
-891.8354745	511.44397	260
-888.9129435	583.908019	260
-879.5077715	672.661270000001	260
-882.4765825	554.109345	260
-879.8807555	689.416879	260
-878.7100655	587.475509	260
-879.7884595	578.242345	260
-878.4051365	642.012187	260
-864.6230485	554.42014	260
-860.6087735	561.05669	260
-859.5680315	574.793036	260
-860.5258015	528.892924	260
-850.7928415	664.709414	260
-852.6617355	512.432458	260
-855.4200635	532.720531	260
-848.0178465	507.032729	260
-848.2078715	586.944486	260
-845.9811495	618.29046	260
-841.0491945	685.846956	260
-833.3077345	626.384211000001	260
-822.7000145	660.021674000001	260
-821.7021885	597.660929	260
-814.5099705	514.160215	260
-811.5360065	662.271311	260
-810.2700475	558.340626	260
-808.2390465	656.037394	260
-808.9095615	604.800022	260
-798.4886735	668.477216	260
-791.1612845	612.014222	260
-785.0263525	660.337581	260
-775.8660265	569.858148	260
-772.8164395	672.752774	260
-770.9190655	519.654557	260
-768.9088345	658.951016	260
-764.6801805	608.683946	260
-758.2017775	605.232075	260
-755.8148815	538.362705	260
-732.6534435	569.506535	260
-728.0518005	637.507861	260
-727.4780885	522.710187	260
-722.1229875	570.443172	260
-721.6053445	645.931724	260
-709.5054975	644.990248	260
-871.9460465	626.00245	260
-845.1957525	594.975292	260
-797.0449155	520.374678	260
-756.9215925	613.419228	260
-745.9954075	670.419214	260
-745.6879365	615.93252	260
-730.9859695	619.411737	260
-733.3966245	681.486435	260
-863.0882975	646.574221	260
-846.2562395	524.736138	260
-782.2501255	560.733754	260
-764.6673695	670.841292	260
-720.5265225	668.105785	260
-719.4177815	577.551929	260
-711.8681655	678.230922	260
-881.9929185	510.716305	260
-833.4506895	596.981285	260
-812.6110775	673.923407	260
-803.8071745	676.443716	260
-724.5111535	694.040568	260
-723.2744075	622.670201	260
-877.8218725	599.419919	260
-780.0348265	636.80773	260
-749.1424585	679.683101000001	260
-740.8225915	676.341979	260
-727.8185415	687.411848	260
-720.4924785	685.49916	260
-893.2043525	768.749446	260
-884.4516595	847.524182	260
-885.0871245	759.143474	260
-883.3083145	740.405985	260
-883.1012275	859.873311	260
-876.4761745	747.955609000001	260
-873.1168325	728.494545	260
-874.2991605	890.217836	260
-870.7511405	836.218671000001	260
-862.4524415	782.871998000001	260
-853.0269515	888.066156	260
-851.0249745	854.034046	260
-848.6640775	817.387787000001	260
-842.8847145	711.826335	260
-842.8921385	872.762534	260
-839.4504845	817.275506	260
-832.4602285	854.579392000001	260
-825.3478235	767.404968	260
-815.9761035	744.730436	260
-817.7533735	810.773819	260
-814.1535795	730.860922	260
-814.7403905	708.207667000001	260
-812.5871095	847.119395	260
-812.0429855	863.384288	260
-810.6586515	722.451876	260
-809.1707685	888.414702	260
-802.4494195	755.707297	260
-799.1498885	870.513511	260
-796.5127195	812.224907	260
-790.5338585	731.406135	260
-782.8914965	730.770244	260
-781.9082585	720.441402	260
-779.1595465	793.619165	260
-779.8286815	829.453671	260
-774.1658865	821.890667000001	260
-771.7083225	769.158324	260
-768.4536885	802.568879	260
-764.1889265	759.501642	260
-760.2702185	822.080433	260
-742.5996785	846.092688	260
-744.9887055	754.679424	260
-743.8530985	784.221682	260
-740.9344145	734.785519	260
-734.4905505	858.97263	260
-728.6473115	748.683193	260
-722.3960965	866.262637	260
-717.1709975	735.941918	260
-711.2161715	783.91324	260
-710.3679535	873.479879	260
-709.7806285	819.040048	260
-876.8692855	786.620248	260
-877.4488785	779.105641	260
-857.5800975	746.576246000001	260
-854.1917105	807.658383	260
-846.1216935	763.544601000001	260
-827.3072805	747.085114	260
-797.7611785	857.175717	260
-795.3484465	843.170508	260
-756.2672075	837.527021	260
-722.6015035	782.271889000001	260
-858.4057435	728.098134	260
-795.5060835	817.666347	260
-786.6459875	781.139449	260
-860.0922045	773.450342	260
-831.3734955	875.912839000001	260
-826.9094265	877.443919	260
-811.0945475	814.94968	260
-687.8147035	749.564362	260
-687.4947005	860.224446	260
-681.6002955	864.219292	260
-678.3760985	720.341835	260
-671.4450875	776.68239	260
-668.6225465	746.993161	260
-667.8875425	721.357204	260
-667.4788385	863.552123	260
-652.6553925	885.485686	260
-650.0694095	769.518424	260
-637.3284765	792.926369	260
-635.7306375	775.404552	260
-629.6281485	811.256427	260
-629.2350195	862.290021	260
-627.6217385	763.160545	260
-621.6790065	767.105192	260
-619.8290635	730.67074	260
-615.2231195	853.924373	260
-616.1509925	748.734245000001	260
-604.5458455	736.686139	260
-602.7237295	783.412784	260
-596.9642205	823.515001	260
-596.8996165	872.452614	260
-598.2473235	750.413971	260
-597.3939465	801.553664	260
-593.8681975	711.625693	260
-586.0689285	837.582585	260
-589.9622445	751.428757000001	260
-585.5757465	796.932629	260
-575.5663945	752.735646	260
-572.8739765	773.534368000001	260
-570.8502495	855.708414	260
-562.8896625	824.798244000001	260
-560.5782805	709.74821	260
-557.2501905	800.911818	260
-558.2720855	871.66	260
-547.7537325	787.875412	260
-538.3762675	836.413907	260
-534.1544325	727.683836	260
-531.4933595	817.565325	260
-521.3411205	879.530307	260
-521.5255145	816.711142	260
-514.2864725	731.223536	260
-691.1355515	729.432606	260
-674.3377215	843.428126	260
-663.4448475	787.445661	260
-649.9861315	813.9539	260
-603.1805585	720.174666	260
-580.7088635	733.729107	260
-558.6068915	883.952391	260
-523.3957015	861.478154	260
-507.1565905	776.349832	260
-507.9587225	796.086546	260
-638.5174305	838.113182	260
-621.9797385	822.627229	260
-579.4627035	771.27521	260
-515.3424455	790.163977	260
-508.3125825	760.819202000001	260
-506.8926115	732.182785	260
-657.6978195	726.750917	260
-652.3368135	726.616836	260
-643.4446065	848.803939	260
-643.1928615	856.517778	260
-598.6387565	714.393492	260
-680.2052295	547.534337	260
-679.3286545	635.158085	260
-676.0656435	657.870186	260
-676.9071235	623.137342	260
-669.7341105	541.023325	260
-664.4510715	628.752071	260
-657.6937685	590.782972	260
-656.5031765	654.811422	260
-655.1298335	566.873625	260
-655.2481055	547.774846	260
-652.6869555	533.717721	260
-650.4477275	524.91992	260
-647.6815075	689.628299	260
-647.3087835	608.402228	260
-644.8145795	630.869965	260
-645.5313225	516.280255	260
-639.6377925	612.935397	260
-628.0303275	611.327457	260
-629.7688675	652.876707	260
-628.8735275	520.450262	260
-621.6476735	575.507575	260
-621.5675485	690.135596	260
-618.1123325	523.178921	260
-612.7198885	508.287982	260
-607.1311105	592.956189	260
-599.9204635	663.643520000001	260
-593.7563935	669.210323	260
-594.8935835	506.145859	260
-591.3964475	616.070584	260
-581.7321955	574.71826	260
-580.8631095	608.205653	260
-573.5364665	635.747988	260
-562.2795435	622.586618	260
-558.5192825	639.855937	260
-558.4127265	517.832103	260
-550.3791775	614.970396	260
-542.8131645	523.249525	260
-537.1217755	608.368204	260
-531.4414855	681.159971	260
-525.9250425	642.337405	260
-522.2193745	527.749339	260
-513.4058505	642.493999	260
-662.1527065	684.164336	260
-639.1070215	545.784711	260
-575.5628195	690.161015000001	260
-563.6723055	599.157705	260
-558.1547145	574.696017	260
-547.3907115	575.937766	260
-535.1028345	518.219131	260
-617.6993005	628.099722	260
-598.9768185	593.246138	260
-550.8101795	671.077126	260
-545.4671755	620.476442	260
-538.9790775	621.127387	260
-527.2477845	632.417189	260
-524.6523965	673.478776	260
-660.3241805	622.374033	260
-654.5652345	626.109902	260
-510.2847245	632.464827	260
-596.7568045	519.419949	260
-529.5233135	617.434629	260
-689.3148505	352.213756	260
-682.8493795	413.686096	260
-681.5308915	355.626921	260
-677.5812155	443.019485	260
-674.0560135	371.553244	260
-675.2138675	391.901695	260
-665.5294515	428.382828	260
-659.3114135	374.517652	260
-650.8476615	426.110189	260
-643.4036635	444.958096	260
-640.1282975	318.628957	260
-635.6931355	447.355185	260
-634.8210705	365.032853	260
-632.1127565	490.594369	260
-624.6171055	449.306114	260
-612.8487715	433.084565	260
-597.7282975	365.177308	260
-578.4162725	453.888045	260
-577.3367375	399.828135	260
-570.8919615	491.416445	260
-569.9032525	369.34537	260
-558.4117245	370.671256	260
-549.7420455	445.603349	260
-549.6487385	352.717753	260
-543.7072575	405.540696	260
-529.2205245	414.248857	260
-526.2663075	334.977588	260
-517.1745235	327.392479	260
-512.9045945	449.297997	260
-511.3977035	388.471504	260
-687.3295635	370.686933	260
-657.1047295	446.892523	260
-619.5232185	364.532347	260
-615.0499275	494.71525	260
-607.5107485	364.972432	260
-609.5254045	316.833867	260
-573.4611855	456.423426	260
-552.7583935	327.460736	260
-539.3208655	357.407773	260
-530.7032875	393.876362	260
-662.5911945	391.429695	260
-650.6617315	375.753677	260
-640.7973435	405.105251	260
-640.4392315	358.515599	260
-616.6122155	449.094286	260
-583.6540105	366.307227	260
-577.0037075	367.313401	260
-566.3715605	400.33375	260
-550.1958975	372.141405	260
-687.9358935	475.039853	260
-563.0978225	422.843644	260
-556.5824865	494.744357	260
-542.7108325	440.921454	260
-536.0255655	465.685069	260
-517.7646795	392.427169	260
-687.1965495	233.305812	260
-679.4821395	212.54576	260
-678.9360745	165.530745	260
-676.6136285	274.899414	260
-675.9414025	203.671954	260
-672.3864655	223.109401	260
-660.7615365	109.804123	260
-661.6666755	165.367183	260
-663.8501415	261.103398	260
-656.7448945	238.442055	260
-648.4672645	221.338443	260
-649.0906125	128.899994	260
-644.3807135	255.079974	260
-640.8436805	202.903929	260
-640.0588415	191.658956	260
-640.1634595	164.654201	260
-636.8374925	235.826037	260
-636.4817255	285.670928	260
-630.8238105	148.797493	260
-631.3616235	247.850135	260
-630.2537215	289.882608	260
-630.5137945	260.466864	260
-625.6041025	204.125311	260
-614.5951305	241.728966	260
-613.4312045	232.013233	260
-611.3186445	186.884305	260
-603.1929405	166.145473	260
-599.7073005	108.846923	260
-592.9851905	277.291034	260
-589.3227435	241.425332	260
-589.5569505	221.543049	260
-587.0257015	285.020932	260
-580.3892975	162.724005	260
-580.0577225	212.268777	260
-579.4621465	188.053272	260
-577.5037475	112.200556	260
-573.9939145	121.936166	260
-571.5602255	149.197247	260
-562.7721155	274.161224	260
-561.5608185	153.519362	260
-556.4526375	168.333348	260
-552.2650195	265.96746	260
-552.4112905	191.812041	260
-552.0911005	142.872452	260
-549.7557575	177.114834	260
-549.7294565	235.476001	260
-541.5481995	259.147098	260
-537.4834095	136.721891	260
-532.2328785	155.176623	260
-529.9901245	171.164014	260
-528.6501445	247.93092	260
-513.0595355	271.381267	260
-508.6716375	241.922856	260
-507.1621605	150.487173	260
-612.5685185	131.451278	260
-601.3090195	215.90448	260
-595.9129415	128.680989	260
-549.0776625	109.093118	260
-679.1074425	181.531491	260
-627.0528585	112.504532	260
-595.9949835	270.948515	260
-570.0838255	210.479077	260
-569.5653705	242.23501	260
-555.8952745	217.102437	260
-547.5725715	121.894516	260
-550.8413715	132.444713	260
-534.0530895	195.120547	260
-534.8697525	110.217712	260
-515.5052615	216.19483	260
-515.1593215	239.294306	260
-571.3610365	175.66517	260
-660.5115685	183.882786	260
-648.7585255	214.594743	260
-620.8085435	144.599233	260
-553.3426705	274.201841	260
-533.6153945	236.597395	260
-529.2306125	267.093936	260
-692.4081175	4.78888300000017	260
-694.4459495	56.1079880000002	260
-692.9315795	75.2486470000003	260
-688.0180845	-59.1347149999997	260
-685.7471475	77.0145010000001	260
-683.8754505	-35.9911659999998	260
-671.3849975	-11.7546309999998	260
-664.5443615	-85.2599379999997	260
-665.6050265	-44.4119179999998	260
-665.0335525	-29.1252369999997	260
-651.5966575	19.9093590000002	260
-654.6134265	-62.9865879999998	260
-650.9399445	-32.5690259999997	260
-646.1842975	-6.238879	260
-646.1144385	42.4428160000002	260
-638.5412885	73.3060410000003	260
-633.4500645	-24.0180099999998	260
-632.0566685	0.96381700000029	260
-625.1221575	87.5914900000002	260
-624.1837475	-43.8111999999996	260
-622.2200525	54.860439	260
-621.0259115	81.2476120000001	260
-619.2796465	-52.1900029999997	260
-602.1465435	1.62452200000007	260
-597.6759915	91.1865330000001	260
-598.3394665	54.2276670000001	260
-596.3851795	81.4345980000003	260
-594.4996165	-40.7775199999996	260
-577.1906195	-92.3206169999999	260
-570.8905375	31.070874	260
-567.4872825	-48.7329839999998	260
-557.2158915	80.7971670000002	260
-557.7216245	-47.984606	260
-557.0230105	-5.54409599999963	260
-547.1515135	72.6586890000003	260
-548.6253765	43.811569	260
-544.8075555	-75.299473	260
-535.7452545	11.2499750000002	260
-527.3092725	-89.0379539999999	260
-524.5409305	-10.483596	260
-523.3877725	-18.4561799999997	260
-517.4406885	-89.0038509999999	260
-506.4568195	-15.2521459999998	260
-673.8338655	83.3888300000003	260
-623.8622585	-3.06817699999965	260
-576.6097955	19.3683070000002	260
-564.8619465	-31.0617859999998	260
-516.2003055	-68.286912	260
-694.8282055	-13.6276709999997	260
-647.1424385	72.613738	260
-631.8207245	-85.9122089999996	260
-584.8590815	62.85986	260
-570.7284585	63.635714	260
-539.1054585	-90.0597079999998	260
-676.9249735	28.75495	260
-611.1039325	73.8536170000002	260
-577.4384375	-34.3514139999997	260
-522.3770455	90.4889820000003	260
-512.8687735	-55.5254539999996	260
-692.0973675	-162.934134	260
-688.4302885	-198.377073	260
-684.5141435	-271.349855	260
-678.4134415	-150.705039	260
-671.8298035	-135.594477	260
-668.5688725	-166.550645	260
-666.2517635	-269.911792	260
-653.6192345	-138.947605	260
-654.5923665	-283.135595	260
-650.2982175	-144.074965	260
-649.1202535	-111.123558	260
-647.7122765	-166.051823	260
