"V1" "V2" "V3"
"24969" 782 1126 83
"31771" 1681 1377 89
"4096" 622 3 29
"26135" 904 965 78
"20902" 1719 1466 58
"777" 535 1233 10
"22246" 636 1396 81
"31809" 186 208 89
"21240" 1277 1002 59
"460" 286 201 7
"23400" 666 1472 72
"301" 481 1295 6
"3472" 926 199 18
"15441" 880 415 51
"18743" 379 206 62
"18274" 1470 1459 51
"6157" 1005 424 25
"9249" 1135 685 28
"25859" 1217 1252 86
"1961" 359 1525 15
"28538" 1131 568 82
"1200" 820 385 11
"17994" 320 295 57
"31651" 1076 1046 91
"17802" 1096 709 50
"33499" 105 1351 94
"19757" 1309 1037 59
"11319" 1516 1060 33
"18453" 743 1130 52
"4204" 954 1316 15
"25212" 183 416 70
"27411" 1312 250 76
"16395" 1598 1520 52
"13206" 1339 417 38
"14357" 1286 1154 52
"15196" 1357 1393 50
"26193" 1088 1248 74
"24537" 576 106 76
"25595" 80 776 72
"30692" 377 483 84
"3687" 354 1344 19
"18920" 975 451 53
"28414" 699 1065 79
"6451" 653 1328 21
"11836" 424 460 39
"29808" 1358 971 87
"8286" 345 1498 32
"13765" 551 341 45
"16621" 959 600 52
"4378" 150 30 23
"12789" 1189 1330 40
"21077" 784 59 80
"33355" 230 1431 93
"14316" 1182 1240 41
"13996" 1351 415 43
"20548" 65 1035 64
"27659" 790 136 76
"5306" 710 1159 19
"15090" 1019 1211 51
"9653" 1163 775 30
"20535" 1583 987 63
"31257" 1056 1244 85
"14362" 1318 1101 41
"9104" 564 978 28
"6654" 1359 1074 27
"30296" 418 1521 92
"21576" 1057 1029 61
"21635" 1215 614 66
"7685" 1020 639 29
"16570" 735 27 47
"17780" 1044 158 57
"27023" 1230 161 78
"3030" 584 1124 12
"6114" 847 759 31
"16444" 161 866 50
"15241" 19 957 45
"2970" 369 464 14
"11568" 957 894 38
"7948" 469 855 25
"17107" 1312 1171 57
"6783" 441 1046 22
"17059" 1128 316 54
"23256" 1577 1334 71
"8015" 818 727 30
"15164" 1231 1222 47
"20710" 820 374 63
"12328" 836 261 41
"18322" 106 182 52
"9765" 1625 1225 34
"863" 51 246 13
"21943" 969 425 61
"11786" 205 704 35
"10295" 538 533 31
"10386" 902 1480 38
"13579" 1250 116 45
"16628" 982 1439 54
"30037" 840 1474 84
"12735" 1046 1393 37
"15516" 1068 1063 44
"9507" 707 858 34
"13171" 1221 375 42
"2694" 719 1098 23
"23627" 1539 911 70
