"V1" "V2" "V3"
"27773" 1150 1511 83
"11210" 1096 662 44
"27564" 454 873 76
"33551" 981 741 94
"8262" 255 298 27
"26022" 412 1054 75
"26581" 1043 894 73
"12726" 1014 127 43
"15713" 249 624 52
"2770" 1013 427 15
"14410" 1587 908 42
"20539" 1715 1429 59
"7639" 847 956 25
"346" 557 727 6
"8322" 512 332 31
"14177" 723 788 47
"6169" 1029 892 24
"27710" 967 448 83
"6361" 286 865 29
"30021" 793 1514 88
"22855" 1439 1278 64
"8827" 969 1109 34
"13557" 1142 391 47
"18779" 517 992 58
"6350" 231 335 21
"19561" 664 740 56
"27105" 41 883 79
"9908" 663 1138 31
"22892" 103 609 71
"12691" 855 254 44
"4305" 1289 492 22
"32985" 76 595 92
"26819" 559 725 76
"7709" 1109 184 25
"7581" 590 1103 29
"25256" 374 247 75
"30990" 45 113 93
"33512" 348 227 94
"27581" 505 29 83
"31935" 738 598 87
"31534" 661 844 92
"28434" 796 519 83
"33428" 991 587 94
"24812" 14 91 69
"31986" 874 353 90
"20676" 674 1115 64
"1555" 14 1298 8
"6161" 1014 670 28
"5475" 1264 1484 18
"20278" 549 880 63
"9905" 644 391 30
"12725" 1013 139 37
"15659" 1573 1182 47
"3466" 893 628 20
"2255" 188 520 11
"13110" 1032 131 38
"27408" 1305 610 85
"13075" 868 821 48
"32636" 744 465 92
"17679" 624 1536 51
"11919" 739 396 42
"5101" 1454 1123 17
"21227" 1247 1342 65
"12911" 78 611 38
"33343" 111 804 94
"7711" 1111 312 24
"12637" 598 1425 44
"20866" 1382 369 63
"19262" 930 1533 56
"31797" 95 201 94
"27342" 1063 825 75
"31620" 951 534 90
"32743" 1250 1311 93
"4283" 1244 1024 15
"7043" 1435 1003 30
"7020" 1308 1064 22
"4264" 1184 916 19
"24795" 1503 1268 68
"27984" 591 964 77
"32064" 1171 474 87
"6335" 132 217 28
"23635" 1568 1010 69
"11860" 509 271 36
"14502" 368 923 48
"648" 659 743 9
"28386" 585 650 78
"8477" 1080 813 32
"5908" 9 294 28
"21180" 1109 864 66
"20010" 966 341 59
"17240" 330 1421 50
"28665" 10 101 89
"8722" 563 1272 27
"9442" 415 211 38
"27680" 856 289 82
"19661" 1017 545 60
"13599" 1313 216 39
"3197" 1233 1385 13
"20178" 97 1413 57
"22716" 947 665 72
"23545" 1196 38 65
"1645" 401 1085 16
"17846" 1220 842 51
"27151" 257 488 82
"7287" 885 22 23
"2322" 530 564 14
"24543" 623 180 74
"21140" 951 726 59
"10591" 98 54 37
"9646" 1142 492 49
"28679" 99 1268 84
"2368" 701 933 10
"4126" 724 1452 15
"24063" 296 1383 71
"6983" 1200 479 27
"7404" 1282 476 23
"23313" 255 353 71
"31193" 887 372 93
"29221" 584 71 86
"29371" 1123 1130 80
"33271" 1095 1271 92
"16435" 126 587 54
"22574" 386 369 70
"6515" 881 417 24
"512" 563 1299 9
"28840" 725 880 80
"23070" 909 399 64
"20849" 1324 719 65
"32371" 917 325 88
"13227" 1419 1326 44
"23310" 249 40 75
"22471" 1614 1042 68
"28246" 98 1443 81
"27593" 539 1173 84
"31888" 549 1413 89
"15031" 838 276 43
"24380" 1592 1516 72
"6229" 1222 1350 28
"29051" 1387 522 84
"7714" 1123 709 29
"25472" 1147 855 77
"25853" 1192 814 77
"241" 376 1169 9
"21983" 1115 909 67
"19633" 938 83 55
"28328" 354 1371 85
"22241" 619 662 67
"25032" 1000 280 69
"11761" 64 91 35
"3989" 58 1286 20
"7574" 544 1381 33
"26535" 880 1463 81
"29444" 1412 790 83
"28088" 1015 781 80
"9254" 1146 1073 33
"19404" 1399 954 60
"32422" 1093 223 90
"488" 453 790 8
"878" 182 60 12
"20183" 114 103 65
"20184" 115 581 65
"30575" 1362 1085 89
"10631" 311 288 32
"17683" 657 157 58
"20605" 354 292 63
"31897" 589 962 87
"26401" 380 619 83
"31916" 679 8 94
"28332" 365 794 84
"30356" 630 197 83
"32081" 1223 1080 87
"3183" 1205 161 16
"25729" 811 775 72
"23066" 885 493 67
"11763" 82 127 38
"17470" 1229 1155 55
"22047" 1353 1489 63
"3025" 570 1045 12
"7958" 530 757 33
"16342" 1295 177 50
"27040" 1274 1417 83
"1925" 215 1382 14
"7937" 426 319 33
"21371" 303 1307 62
"4129" 735 81 16
"19733" 1230 569 61
"22689" 827 313 71
"13817" 742 955 50
"24516" 502 582 72
"11582" 993 691 39
"9850" 426 1135 30
"6564" 1057 766 21
"12020" 1108 1297 35
"28649" 1509 664 79
"27569" 465 166 77
"31987" 874 1407 87
"13218" 1369 695 38
"28755" 425 420 84
"7048" 1464 1325 22
"178" 269 116 6
"17483" 1266 340 54
"4613" 1006 1366 21
"8000" 702 660 31
"18801" 614 425 59
"23444" 865 98 72
"15652" 1524 1247 49
"16274" 1063 507 50
"13918" 1088 929 44
"5813" 1156 1194 25
"11693" 1305 1442 42
"20124" 1343 958 57
"30287" 345 1059 88
"16725" 1276 1030 52
"6414" 526 664 21
"11413" 333 777 39
"32838" 506 999 91
"1979" 457 1040 9
"21189" 1137 1108 64
"16930" 631 899 53
"18994" 1263 1112 53
"23502" 1076 1373 71
"24658" 983 1012 68
"8813" 917 446 38
"8027" 860 1462 32
"7250" 712 977 28
"4528" 712 646 16
"10780" 900 305 32
"5237" 447 936 18
"1497" 981 483 9
"16383" 1490 669 47
"18597" 1217 1106 58
"2054" 745 431 10
"18075" 662 738 51
"2271" 274 963 10
"16028" 8 802 46
"757" 331 1216 12
"8720" 556 684 27
"20970" 337 1024 59
"1112" 457 1368 14
"5652" 584 1479 23
"20201" 186 263 59
"1201" 822 1520 13
"3958" 1380 543 19
"2107" 969 751 10
"5728" 849 556 19
"4698" 1291 1026 31
"714" 87 412 11
"8582" 1436 1451 30
"11389" 252 447 40
"32865" 780 449 90
"20580" 217 1416 64
"17571" 65 5 56
"17742" 903 1052 57
"31111" 620 821 85
"30089" 1072 1024 82
"27992" 602 973 83
"28397" 618 558 78
"25716" 761 516 71
"24076" 344 916 71
"27925" 372 18 77
"26239" 1247 150 72
"16177" 662 239 53
"2254" 185 369 10
"29562" 534 1375 82
"4157" 810 1341 21
"21525" 893 767 60
"9426" 363 1033 29
"21305" 14 68 80
"24578" 760 809 68
"21308" 42 1017 60
"19177" 550 1 54
"3248" 19 142 21
"3143" 1023 112 15
"20415" 1059 845 61
"9861" 462 651 31
"28255" 117 1123 89
"12463" 1319 932 41
"11779" 146 1182 35
"19432" 1552 1255 58
"8349" 614 365 34
"24368" 1476 1247 72
"7980" 613 33 32
"11671" 1245 1469 38
"30054" 926 664 83
"24358" 1391 749 72
"7560" 488 103 30
"27098" 4 521 79
"31637" 1032 1532 86
"30533" 1267 1496 83
"765" 442 1046 11
"15870" 981 495 46
"14960" 614 799 43
"22484" 19 441 72
"22944" 365 639 68
"8980" 1541 1486 33
"29431" 1358 320 83
"23596" 1393 1144 71
"18335" 189 46 58
"14239" 956 319 44
"10364" 830 1395 31
"2378" 732 538 28
"24839" 129 1082 77
"5245" 483 1345 37
"2937" 261 1170 13
"11830" 388 1303 43
"18040" 526 602 57
"21628" 1194 28 63
"16702" 1208 446 54
"5463" 1224 511 26
"25017" 930 1028 75
"25767" 919 385 72
"3766" 689 548 14
"18120" 841 69 56
"18271" 1465 1490 51
"17870" 1301 1523 53
"30649" 162 1195 91
"28271" 181 1457 80
"23094" 994 1123 64
"20137" 1437 879 60
"18833" 686 86 59
"12298" 730 174 44
"801" 635 424 9
"12591" 418 418 43
"17399" 965 169 58
"9439" 407 347 35
"21969" 1064 1438 66
"25825" 1115 1351 76
"29637" 777 1050 90
"2250" 166 1529 22
"33542" 811 1294 94
"18902" 870 1103 54
"23420" 777 20 65
"26075" 682 1223 80
"18894" 851 1440 60
"18287" 1509 941 51
"2495" 1255 828 11
"13062" 801 874 54
"8617" 61 233 35
"33423" 968 448 93
"15328" 414 1509 47
"22982" 564 214 64
"17224" 274 773 51
"5384" 950 509 25
"9260" 1160 1185 30
"10060" 1194 8 35
"14962" 617 578 43
"8178" 1348 752 34
"22138" 194 568 69
"1114" 463 404 13
"18962" 1152 1239 57
"26587" 1054 1464 79
"20049" 1081 760 61
"21359" 242 21 60
"8478" 1080 1123 31
"880" 191 765 16
"17439" 1159 373 58
"28362" 489 184 85
"13149" 1170 214 38
"25531" 1330 983 76
"2457" 1088 1344 17
"18449" 706 307 58
"10611" 222 1099 32
"18184" 1087 601 61
"681" 839 1075 13
"13223" 1391 1011 41
"16712" 1226 376 57
"33492" 1559 1021 93
"18666" 1774 1525 52
"19190" 620 28 60
"11412" 330 524 34
"18850" 732 897 59
"3427" 764 771 20
"29365" 1112 879 85
"16" 23 727 9
"11082" 608 392 37
"26675" 1393 1515 73
"17690" 686 34 58
"16258" 960 487 52
"27911" 304 1281 83
"8866" 1128 677 27
"20128" 1381 478 62
"17826" 1183 1048 50
"13480" 820 1438 48
"23347" 406 67 77
"32890" 915 370 90
"31270" 1110 729 89
"31829" 254 235 94
"30315" 512 1056 83
"20660" 600 876 58
"33164" 85 1238 93
"30724" 511 1346 85
"4333" 1409 407 21
"9652" 1160 752 34
"8498" 1124 456 35
"13271" 1715 1315 41
"4848" 486 1213 18
"25941" 1683 1317 71
"26574" 1012 860 80
"449" 227 1356 23
"30387" 767 1111 90
"9948" 808 375 35
"15986" 1391 423 53
"26105" 802 228 79
"12990" 482 419 39
"3729" 534 453 21
"1743" 802 1388 8
"8047" 937 1427 31
"11631" 1119 823 34
"1654" 423 1456 32
"4919" 780 15 22
"22377" 1137 241 67
"6165" 1020 1204 20
"14436" 85 254 42
"20785" 1110 707 64
"20284" 575 1530 74
"30576" 1366 1506 83
"7655" 907 384 28
"3202" 1253 1477 12
"10349" 764 546 35
"20564" 119 117 58
"10512" 1310 427 31
"23333" 338 138 73
"24871" 293 300 69
"15176" 1273 958 46
"25136" 1356 968 70
"19102" 207 363 54
"12539" 71 963 43
"21608" 1131 1269 66
"11167" 953 91 38
"17866" 1285 823 50
"31750" 1453 730 93
"1238" 970 522 11
"17729" 824 1460 50
"28032" 785 277 78
"7866" 142 306 25
"32478" 1308 1487 94
"19289" 1032 546 59
"25145" 1410 1258 77
"17577" 108 224 50
"8132" 1169 634 26
"26101" 784 1087 79
"23755" 584 905 66
"27214" 559 1191 82
"23039" 765 239 65
"26941" 992 33 74
"12657" 671 365 44
"6671" 1445 1391 23
"9068" 417 3 28
"25819" 1103 1159 76
"3461" 880 5 17
"384" 643 482 7
"9525" 773 1304 44
"19560" 660 209 62
"321" 514 1096 8
"14637" 868 506 43
"22389" 1179 1073 62
"16669" 1129 293 53
"30338" 585 468 92
"3784" 722 1257 23
"25550" 1407 571 76
"29413" 1273 1514 80
"807" 664 832 7
"4015" 184 1381 15
"33176" 176 111 93
"10310" 621 1096 38
"28663" 4 467 87
"28443" 817 255 85
"33340" 76 920 93
"4832" 388 127 23
"10884" 1232 1103 37
"23024" 720 717 78
"9894" 594 1008 37
"27970" 545 901 77
"32316" 752 67 89
"17623" 344 851 56
"20921" 81 255 60
"12948" 246 1014 45
"11145" 885 280 33
"3612" 1518 827 20
"23893" 1149 386 73
"30779" 793 1531 92
"9187" 885 1242 34
"20074" 1181 372 62
"26707" 1692 1405 84
"4537" 739 558 16
"21770" 237 342 61
"32927" 1145 459 90
"10354" 770 1399 37
"13695" 129 687 51
"11018" 317 439 36
"9614" 1061 1477 29
"28833" 703 122 80
"7498" 248 154 24
"29927" 359 1192 89
"9386" 201 406 29
"7911" 334 341 27
"21307" 38 779 69
"12296" 718 209 36
"13094" 943 1312 48
"6204" 1143 423 20
"29405" 1256 541 86
"11917" 734 172 35
"51" 81 76 7
"18885" 826 65 60
"12975" 383 283 44
"33175" 173 107 92
"3074" 745 1036 15
"22237" 609 272 62
"15974" 1307 835 51
"27661" 791 1348 88
"21442" 616 471 61
"29167" 407 702 81
"21910" 861 131 62
"7251" 713 903 23
"2397" 800 81 11
"21840" 612 782 68
"2798" 1101 150 18
"3913" 1203 615 22
"14759" 1247 398 45
"26737" 183 345 75
"8323" 523 1023 26
"20276" 527 1275 61
"31688" 1163 826 86
"1742" 800 470 18
"2990" 449 775 17
"29534" 421 1180 82
"9477" 559 1272 35
"15547" 1183 295 48
"26582" 1047 965 73
"12430" 1203 687 48
"18480" 839 4 52
"25712" 740 965 77
"4781" 187 985 23
"19107" 236 1117 54
"28823" 662 1159 86
"9070" 420 779 34
"31707" 1244 1225 86
"23089" 984 444 64
"12909" 76 1187 43
"4999" 1020 709 26
"12340" 886 1507 42
"11915" 727 846 42
"23952" 1332 299 72
"29989" 619 409 91
"762" 421 258 11
"12165" 89 217 63
"32230" 376 443 94
"22692" 837 513 63
"7598" 663 590 24
"3615" 1569 1243 18
"23607" 1442 876 68
"24497" 409 1009 82
"29155" 331 1349 87
"22319" 968 566 69
"8910" 1264 100 28
"15744" 433 1169 46
"15367" 621 66 44
"15772" 590 1407 50
"27287" 831 28 82
"19964" 803 301 56
"3683" 331 634 22
"1765" 871 482 16
"22078" 1490 1011 71
"27604" 585 1166 79
"27899" 227 521 77
"30098" 1093 1327 82
"29204" 539 771 84
"15691" 124 670 48
"8438" 957 773 32
"20391" 956 442 57
"13123" 1072 4 44
"16885" 447 709 54
"4432" 313 875 24
"26940" 987 925 74
"7373" 1156 875 23
"30215" 58 974 91
"24942" 690 1255 74
"1042" 143 41 6
"26719" 29 801 80
"15093" 1029 43 58
"31959" 810 1505 94
"24162" 692 1357 67
"11782" 157 54 35
"21470" 697 744 67
"18582" 1189 1493 58
"15414" 817 711 64
"26448" 543 553 79
"28337" 382 271 78
"21612" 1145 947 60
"23726" 400 648 71
"16126" 445 1108 46
"7615" 750 310 24
"23146" 1136 759 69
"12359" 951 1472 41
"5398" 989 1481 24
"25640" 373 19 74
"2973" 374 991 12
"29903" 284 281 87
"19641" 954 269 61
"33436" 1049 1328 94
"21049" 694 532 59
"16933" 643 1144 53
"26457" 584 1350 80
"10454" 1115 870 31
"16186" 699 847 46
"31946" 777 298 93
"32973" 1725 1468 90
"16085" 263 1419 52
"32996" 147 100 91
"27138" 205 468 83
"5722" 831 1367 22
"775" 531 732 13
"30081" 1053 116 82
"12280" 650 883 49
"3831" 875 364 22
"749" 309 612 9
"14987" 699 883 43
"23169" 1200 629 69
"30549" 1293 192 83
"6780" 435 343 22
"9047" 297 511 33
"18873" 806 1387 64
"2548" 107 235 23
"5632" 502 1500 19
"21526" 898 721 61
"30676" 303 278 88
"7682" 1012 332 31
"20735" 916 1038 66
"12554" 148 897 39
"24678" 1038 257 69
"16024" 4 112 46
"24458" 279 1057 69
"10744" 754 1218 35
"11137" 846 710 33
"2947" 273 1257 14
"21522" 891 378 65
"15194" 1348 544 49
"4299" 1279 1155 20
"16248" 932 380 46
"19090" 153 1106 54
"3684" 333 377 21
"9265" 1170 1028 28
"12221" 344 332 42
"32750" 1321 314 94
"21749" 119 901 72
"11989" 1002 348 36
"2939" 264 1245 14
"9655" 1169 214 33
"3488" 973 18 13
"8204" 1504 1506 37
"8374" 732 145 33
"20290" 588 739 64
"5512" 1442 576 23
"29389" 1205 1002 80
"13133" 1110 769 39
"23273" 51 852 68
"12135" 1597 1145 41
"27534" 317 989 83
"8862" 1118 1109 32
"9031" 247 1172 29
"10795" 935 1250 32
"12837" 1342 1155 44
"3676" 272 1476 20
"19411" 1418 814 56
"24855" 219 458 76
"26988" 1119 483 74
"13417" 612 1071 40
"8953" 1400 720 33
"3380" 568 117 13
"27745" 1066 626 85
"30283" 325 355 83
"13534" 1082 516 39
"15292" 273 386 51
"29964" 533 1369 82
"24385" 1629 1468 75
"9676" 1208 573 30
"10173" 46 884 31
"11817" 322 98 35
"14983" 695 1249 55
"555" 9 1026 7
"8471" 1067 350 31
"18660" 1595 1324 57
"8040" 898 480 25
"28303" 265 190 78
"1037" 121 1413 11
"7228" 620 823 28
"25812" 1075 664 71
"31765" 1599 1110 87
"11505" 783 1500 40
"21374" 328 1331 71
"6239" 1241 962 25
"21682" 1413 749 65
"6701" 49 1472 23
"17987" 276 1143 58
"22129" 157 909 67
"25745" 854 139 71
"1975" 411 343 9
"13776" 586 360 45
"219" 343 1031 8
"246" 389 460 6
"7142" 336 1374 23
"1694" 631 179 19
"14196" 795 67 46
"31446" 217 578 93
"24401" 39 989 68
"2871" 1446 1011 14
"15586" 1267 1524 44
"2297" 433 1406 16
"7869" 159 828 32
"3656" 198 1244 14
"1212" 856 438 9
"683" 846 1420 10
"15688" 102 251 45
"2505" 1299 268 13
"14997" 734 445 46
"14280" 1077 867 41
"4173" 884 1455 22
"6206" 1151 1047 25
"18594" 1206 1086 52
"4874" 620 1139 24
"2578" 198 775 11
"22556" 311 980 66
"24628" 911 133 73
"29425" 1320 1111 80
"12996" 498 916 45
"13073" 852 350 38
"20329" 738 763 65
"27525" 294 1325 76
"17351" 771 925 49
"26378" 292 295 74
"10398" 933 441 42
"4627" 1060 558 19
"2218" 1358 1294 15
"14400" 1489 559 47
"23684" 184 47 66
"23084" 959 1228 70
"22133" 172 1027 68
"22975" 526 434 65
"19812" 39 578 67
"16179" 675 881 47
"25444" 1030 374 73
"3837" 899 53 20
"13660" 1662 1279 44
"761" 382 437 12
"26821" 566 887 81
"20220" 255 143 57
"21005" 466 798 59
"4127" 726 4 20
"16563" 700 852 48
"10789" 928 671 40
"16399" 1663 1302 48
"32818" 286 1411 91
"32517" 1506 1520 88
"12210" 307 1346 42
"3748" 588 837 20
"16097" 321 115 52
"33550" 963 1231 94
"19735" 1238 1515 61
"14008" 1412 1506 43
"32885" 889 739 90
"33248" 868 384 92
"19558" 643 83 55
"30901" 1239 803 89
"22665" 734 482 69
"9819" 238 874 30
"12904" 67 945 47
"12544" 95 1407 37
"7983" 623 1021 25
"2372" 721 477 10
"33327" 1640 1108 94
"22511" 140 996 72
"29222" 595 44 90
"26238" 1246 1176 72
"7062" 1560 1499 34
"11128" 817 1390 45
"16585" 799 1199 47
"17901" 1431 1081 50
"33410" 838 482 93
"15780" 637 1072 45
"30373" 719 363 84
"26849" 657 1110 80
"33462" 1218 1063 93
"18399" 505 1487 57
"6613" 1213 363 27
"20821" 1216 951 67
"17404" 997 910 54
"30771" 727 629 88
"16473" 273 1347 55
"32219" 343 1 88
"26023" 415 781 72
"2272" 280 895 11
"12695" 873 1023 51
"23827" 912 454 73
"29347" 1041 637 80
"16350" 1332 600 51
"18203" 1158 328 57
"389" 669 1480 8
"3649" 150 238 15
"12132" 1540 1100 39
"19498" 305 973 56
"11532" 846 402 41
"30379" 747 64 83
"25629" 314 232 77
"8974" 1501 1221 33
"25053" 1070 694 69
"8569" 1377 547 26
"3299" 273 1231 13
"3993" 81 1401 16
"5793" 1070 1445 26
"19628" 922 1333 62
"3897" 1134 150 17
"25049" 1049 730 74
"23346" 402 948 72
"27072" 1444 589 81
"19698" 1152 1233 55
"24555" 670 1248 74
"19065" 57 689 54
"29972" 572 1178 83
"21001" 452 1392 64
"8790" 825 415 33
"3198" 1233 1518 12
"11295" 1369 1275 44
"18704" 243 720 57
"2187" 1212 1450 16
"11434" 442 1359 42
"6147" 956 348 23
"32776" 1516 709 90
"8861" 1117 809 27
"20490" 1279 586 57
"1333" 343 1234 7
"2714" 773 1523 12
"23264" 1660 1170 71
"10025" 1074 54 31
"16713" 1229 1293 50
"15302" 297 1072 45
"17387" 908 417 57
"25383" 863 1199 77
"11706" 1338 1060 36
"28083" 992 61 78
"9129" 676 1002 34
"19148" 407 230 61
"16387" 1503 964 53
"2587" 258 149 11
"32919" 1098 356 90
"9883" 555 1412 30
"1559" 45 21 8
"9352" 1624 1146 28
"29266" 738 62 80
"21272" 1420 1406 74
"2836" 1249 1142 15
"32863" 760 985 94
"17306" 601 959 62
"18190" 1102 250 57
"22575" 383 778 75
"22066" 1425 1460 65
"5009" 1056 764 19
"32352" 871 97 94
"5978" 348 478 26
"18581" 1187 88 53
"25105" 1240 1109 69
"27597" 559 192 83
"6194" 1116 944 24
"446" 211 1276 11
"23620" 1486 591 74
"11668" 1240 656 34
"9207" 958 766 28
"2513" 1361 1498 14
"17311" 621 1368 57
"15370" 640 1072 44
"24431" 187 919 68
"5865" 1339 1498 28
"26270" 1337 1481 73
"26160" 972 54 78
"14857" 211 907 48
"8994" 1655 1343 34
"21349" 213 423 60
"32200" 243 1505 94
"18999" 1294 684 61
"29603" 691 1429 81
"9637" 1111 773 30
"7124" 261 1297 27
"32545" 81 201 93
"31179" 839 589 91
"15016" 802 333 49
"26128" 885 1070 78
"29796" 1316 254 82
"1518" 1071 959 10
"23723" 395 354 72
"17120" 1376 857 52
"31796" 92 792 94
"25163" 1569 1378 73
"6509" 854 1367 26
"3675" 272 1235 15
"10332" 684 591 37
"8723" 567 1130 27
"16806" 76 1361 53
"18424" 606 735 66
"19042" 1561 1017 60
"6183" 1057 773 24
"18719" 296 223 59
"10779" 892 612 32
"16840" 245 94 48
"23619" 1486 735 73
"16851" 301 194 48
"8039" 892 1421 25
"87" 125 1130 8
"20211" 210 1086 67
"17277" 506 1047 53
"5783" 1045 1119 29
"25794" 1026 1103 76
"18259" 1403 1376 55
"26437" 501 890 78
"17598" 211 993 57
"4851" 505 807 17
"8996" 1695 1421 28
"19473" 190 1155 55
"19545" 569 417 61
"23255" 1560 1350 64
"24750" 1264 1008 70
"16519" 472 486 47
"15934" 1198 308 46
"5325" 779 1295 24
"17685" 663 761 59
"29830" 1524 884 85
"28688" 149 1123 79
"9081" 471 899 35
"11492" 720 39 34
"6131" 891 1226 20
"3325" 379 614 14
"27909" 288 96 79
"21603" 1122 581 60
"29941" 420 803 91
"8511" 1158 538 27
"32250" 458 475 94
"5022" 1093 1523 27
"7370" 1142 1364 38
"13429" 674 1269 45
"20241" 364 690 63
"27416" 1318 1276 84
"15248" 79 20 45
"19383" 1303 1429 61
"3666" 239 1261 14
"30108" 1113 246 91
"4068" 477 1225 18
"24093" 406 3 67
"11962" 892 214 42
"5692" 737 1090 19
"1984" 471 551 12
"28787" 517 1015 80
"30322" 545 1442 83
"2775" 1021 1215 12
"12868" 1504 659 41
"12583" 345 1318 43
"2131" 1032 952 20
"26624" 1209 707 73
"3886" 1088 459 19
"13588" 1285 1207 44
"16782" 1601 1312 51
"26850" 663 206 82
"17736" 872 490 58
"24873" 306 1284 73
"25029" 993 65 70
"18213" 1169 678 59
"8445" 969 969 26
"20981" 374 444 62
"15628" 1419 1407 44
"6892" 888 797 27
"21467" 694 54 68
"28308" 289 1431 78
"13968" 1260 1496 52
"5646" 555 529 20
"24391" 1715 1453 78
"15203" 1380 799 49
"7341" 1050 1219 23
"28950" 1085 126 85
"20487" 1271 284 58
"20519" 1449 1174 64
"22908" 187 1 69
"10104" 1337 209 30
"5286" 638 445 24
"29398" 1233 1148 86
"18784" 536 623 58
"26229" 1208 999 76
"11774" 124 1450 37
"21252" 1338 865 61
"1581" 127 1306 14
"19193" 632 56 61
"12511" 1565 807 46
"13248" 1508 1366 41
"18494" 891 242 55
"21285" 1517 1406 66
"10622" 255 667 36
"23330" 315 262 71
"26337" 152 1343 74
"10550" 1540 724 42
"10214" 238 879 35
"31970" 840 339 90
"484" 437 855 8
"15818" 784 676 52
"30277" 303 845 88
"22009" 1210 1055 67
"5308" 721 851 19
"21502" 794 725 65
"9501" 678 943 30
"27278" 795 788 75
"2575" 186 92 11
"9255" 1147 269 32
"3845" 929 255 19
"4416" 262 425 16
"8990" 1626 994 33
"9830" 305 314 37
"7586" 608 966 24
"28670" 45 258 87
"12438" 1223 933 36
"1375" 528 1056 7
"31007" 137 1416 90
"3237" 1453 1223 19
"27958" 511 441 78
"24017" 122 688 67
"25371" 830 832 70
"17036" 1038 1459 55
"22506" 122 379 68
"27082" 1510 1316 87
"1387" 597 883 14
"2106" 966 380 16
"30750" 639 1161 90
"463" 302 871 9
"29427" 1329 805 86
"24337" 1315 1109 69
"25157" 1530 942 73
"18542" 1075 157 54
"22660" 703 1334 63
"8973" 1500 1118 27
"30591" 1460 554 92
"13541" 1094 1369 39
"3238" 1455 1265 14
"13160" 1190 1344 44
"28364" 495 852 78
"7141" 325 46 29
"10837" 1057 1500 32
"3566" 1258 1251 13
"9357" 3 1429 36
"20120" 1327 1505 63
"11003" 241 471 33
"30991" 49 1031 85
"16568" 730 805 52
"7128" 290 62 28
"4394" 210 102 22
"14123" 466 1098 49
"22491" 58 695 65
"20332" 765 595 63
"4674" 1210 541 19
"27809" 1287 984 76
"1457" 866 1147 18
"7762" 1266 1308 29
"6056" 691 666 25
"28290" 235 338 78
"713" 85 1217 11
"17713" 779 191 51
"5081" 1350 531 17
"19170" 525 1339 61
"15345" 517 776 48
"13064" 808 995 39
"8220" 10 174 34
"1563" 74 363 14
"28637" 1414 887 85
"25623" 279 1060 72
"1446" 834 374 12
"32587" 402 587 89
"8958" 1427 1127 27
"6207" 1153 1353 20
"15640" 1485 1136 46
"29648" 836 1487 86
"9484" 593 684 36
"8066" 1010 110 31
"32364" 900 987 94
"32248" 445 1009 94
"2137" 1045 1387 15
"189" 282 365 9
"8907" 1241 79 28
"2763" 997 712 16
"11547" 896 1352 41
"2415" 878 699 15
"11789" 213 896 35
"15983" 1354 1356 50
"8724" 569 1453 30
"33195" 412 729 92
"1276" 61 1409 11
"19591" 786 997 55
"6385" 386 1023 26
"8802" 881 582 33
"17820" 1159 1148 57
"10292" 535 1328 32
"3871" 1022 505 14
"9141" 740 170 31
"5962" 278 315 25
"30235" 124 71 83
"32626" 653 695 89
"4164" 840 300 15
"8101" 1094 122 29
"24784" 1434 670 73
"7235" 661 590 23
"5117" 1529 1316 23
"19401" 1384 1459 60
"6823" 632 409 23
"21087" 815 1451 64
"32285" 609 4 94
"9201" 949 235 31
"3746" 581 940 14
"12184" 194 796 40
"8874" 1148 692 27
"9737" 1440 1428 39
"8369" 702 828 26
"23245" 1457 1013 68
"31505" 502 755 91
"13531" 1078 48 39
"3872" 1021 509 19
"10824" 1024 522 32
"21303" 8 710 65
"12038" 1154 690 35
"633" 562 1317 8
"31764" 1592 1234 93
"17645" 450 557 50
"4040" 312 672 15
"10843" 1094 963 32
"22694" 844 832 63
"14707" 1089 258 42
"18045" 565 1053 59
"2777" 1023 353 15
"29823" 1483 1104 85
"11130" 830 311 33
"6672" 1447 828 25
"1447" 835 404 12
"21172" 1087 1464 66
"19908" 488 1198 60
"26423" 435 682 87
"4433" 325 1048 22
"31321" 1247 698 91
"12970" 341 1501 38
"18458" 761 1126 52
"31814" 208 1423 94
"30970" 1575 1030 91
"18438" 662 1118 52
"12680" 768 917 37
"306" 493 711 9
"3403" 661 311 13
"9517" 755 260 34
"7768" 1288 126 25
"29540" 427 624 86
"19348" 1203 252 59
"24152" 657 1148 72
"19590" 785 1180 64
"27176" 380 103 81
"1490" 972 494 8
"12672" 747 1494 44
"21529" 904 234 66
"1163" 675 1034 6
"19384" 1304 801 65
"22387" 1173 897 69
"16707" 1217 1140 48
"22253" 671 939 62
"32807" 207 394 90
"18635" 1432 1480 52
"33289" 1226 111 92
"32372" 919 941 94
"5365" 888 563 18
"9736" 1431 393 30
"16544" 633 1433 54
"25795" 1028 1479 76
"33097" 1063 238 94
"25670" 528 1124 77
"31359" 1353 488 86
"16290" 1117 882 52
"12040" 1173 719 35
"31419" 91 203 86
"15612" 1355 598 54
"20578" 216 442 59
"15393" 749 617 53
"25264" 399 117 70
"15250" 84 1091 50
"15867" 978 825 53
"23845" 980 193 76
"17075" 1179 1130 53
"24482" 353 934 76
"25939" 1610 999 79
"1831" 1084 544 15
"23776" 668 127 66
"17013" 977 1270 50
"401" 718 1067 7
"31009" 141 1517 85
"28299" 258 579 83
"7351" 1076 231 27
"24826" 91 646 72
"24998" 869 788 76
"22418" 1312 1494 63
"26568" 998 123 83
"28208" 1433 1413 84
"10809" 987 1496 39
